都道府県,西暦,人口,,,,
新潟県,2024,"2,099,000",,,,
富山県,2024,"997,000",,,,
石川県,2024,"1,098,000",,,,
福井県,2024,"739,000",,,,
山梨県,2024,"791,000",,,,
長野県,2024,"1,987,000",,,,
岐阜県,2024,"1,916,000",,,,
静岡県,2024,"3,527,000",,,,
愛知県,2024,"7,460,000",,,,
三重県,2024,"1,711,000",,,,
滋賀県,2024,"1,402,000",,,,
京都府,2024,"2,520,000",,,,
大阪府,2024,"8,757,000",,,,
兵庫県,2024,"5,337,000",,,,
奈良県,2024,"1,285,000",,,,
和歌山県,2024,"880,000",,,,
鳥取県,2024,"531,000",,,,
島根県,2024,"642,000",,,,
岡山県,2024,"1,831,000",,,,
広島県,2024,"2,714,000",,,,
山口県,2024,"1,281,000",,,,
徳島県,2024,"685,000",,,,
香川県,2024,"917,000",,,,
愛媛県,2024,"1,276,000",,,,
高知県,2024,"656,000",,,,
福岡県,2024,"5,092,000",,,,
佐賀県,2024,"788,000",,,,
長崎県,2024,"1,252,000",,,,
熊本県,2024,"1,697,000",,,,
大分県,2024,"1,085,000",,,,
宮崎県,2024,"1,033,000",,,,
鹿児島県,2024,"1,532,000",,,,
沖縄県,2024,"1,466,000",,,,
